Date,Topic,Readings,Assignment,Project
5-Jan,Introduction to class,,,
7-Jan,Introduction to R,,,
12-Jan,Introduction to the U.S. Census ,Handout 1,,
14-Jan,Data wrangling and visualization,,,
19-Jan,Introduction to spatial data ,Handout 2,HW 1,
21-Jan,Neighborhoods,Sharkey and Faber (2014),,
26-Jan,Open Data,Handout 3,,
28-Jan,Big Data,Handout 3,,
2-Feb,Spatial accessibility,Handout 4,HW 2,
4-Feb,Spatial accessibility,Handout 4,,
9-Feb,Segregation,Handout 5a; Logan and Stults (2011),,
11-Feb,Neighborhood Opportunity/Disadvantage,Handout 5b,,
16-Feb,Spatial Autocorrelation,Handout 6,HW 3,
18-Feb,Spatial Autocorrelation,Handout 6,,
23-Feb,Linear regression,Handout 7,,Proposal
25-Feb,Spatial regression,Handout 7,,
2-Mar,Introduction to StoryMaps,Lung-Amam & Dawkins (2019) ,,
4-Mar,Social Network Analysis,Handout 8,HW 4,
9-Mar,Social Network Analysis,Handout 8,,
11-Mar,No class,,,
16-Mar,Presentations,,,Presentation
18-Mar,Final Project report due,,,Final report
